Jaccard,BLEU,ROUGE-1,ROUGE-2,ROUGE-L
0.6389057751,7.433333333333333e-156,0.1062601026,0.0026666652773333333,0.1062601026
0.6774193548,7.36e-233,0.1066666633,0.0,0.1066666633
0.6527777778,2.41e-232,0.022792021923333333,0.0,0.022792021923333333
0.6296296296,0.0,0.0,0.0,0.0
0.5749999999666666,1.0453333333333333e-231,0.15151514751666667,0.0,0.11111110711666666
0.6486486486,9.91e-232,0.1445783084,0.0,0.1445783084
0.5249475891333334,2.72e-232,0.030476189343333335,0.0,0.02666666553333333
0.5817421349333333,9.94e-156,0.12681922745333332,0.017579169939333335,0.10649402418666666
0.5824600110666668,4.223333333333333e-232,0.14567853016666668,0.0,0.1399065244
0.6060606061,0.0,0.0,0.0,0.0
0.55,6.2299999999999995e-233,0.10126581959999999,0.0,0.10126581959999999
0.6787878788,3.423333333333333e-232,0.10620914612666667,0.0,0.0661764664
0.7586206897,5.9799999999999996e-232,0.1363636317,0.0,0.1363636317
0.6363636364,7.31e-233,0.05797101092999999,0.0,0.05797101092999999
0.5882352941,1.05e-231,0.1142857093,0.0,0.05714285218
0.6,1.1899999999999999e-232,0.10169491130000001,0.0,0.03389830113
0.6363636364,3.18e-233,0.04878048465999999,0.0,0.04878048465999999
0.6053639847,8.014333333333333e-233,0.10567850091333332,0.0,0.054383252986666665
0.6666666667,1.07e-232,0.1408450669,0.0,0.1126760528
0.4772727273,7.729999999999999e-233,0.05479451713,0.0,0.02739725685
0.47967479676666674,5.427e-233,0.09788359492,0.0,0.06878306582
0.5789473684,2.08e-232,0.1071428531,0.0,0.1071428531
0.512195122,1.8399999999999998e-232,0.1846153809,0.0,0.1538461501
0.5874246339666667,3.876666666666667e-232,0.11303482194666666,0.0,0.09313432443333332
0.6196581196333334,1.262e-232,0.07904678490666667,0.0,0.06102876689333333
0.431372549,4.639999999999999e-233,0.0749999968,0.0,0.0499999968
0.5652173913,1.0499999999999999e-78,0.2020201971,0.03883494659,0.2020201971
0.5042735042666667,3.4694333333333336e-233,0.07353535066333333,0.0,0.04565656279
0.6666666667,1.0700000000000002e-231,0.1341463367,0.0,0.1219512148
0.59375,0.0,0.0,0.0,0.0
0.5633333333333334,9.500000000000001e-156,0.11862732106666667,0.005312083596666666,0.11862732106666667
0.4565217391,8.17e-233,0.055555552099999995,0.0,0.055555552099999995
0.45773348096666666,9.766666666666668e-159,0.0793650764,0.008888888323333333,0.0502645473
0.55,8.17e-233,0.05797101092999999,0.0,0.02898550368
0.4688346883666667,3.334e-233,0.10141413853666666,0.0,0.10141413853666666
0.5675675676,1.0899999999999999e-232,0.1230769194,0.0,0.1230769194
0.512195122,8.11e-233,0.02739725685,0.0,0.02739725685
0.5526315789,8.670000000000001e-232,0.0634920587,0.0,0.03174602696
0.6646890793333333,7.466666666666667e-156,0.09409531162,0.0033167481763333334,0.08962103872
0.55,4.389999999999999e-233,0.0740740709,0.0,0.0740740709
0.5675675676,1.27e-232,0.06249999625,0.0,0.06249999625
0.6578947368,2.83e-155,0.1590909049,0.02040815937,0.1363636322
0.5599747474333333,6.533333333333334e-156,0.06601844556333333,0.002861229097,0.04697082651
0.6607142857,9.22e-232,0.08928570929,0.0,0.07142856643
0.5526315789,0.0,0.0,0.0,0.0
0.6146572104333333,6.519999999999999e-232,0.08394195720333335,0.0,0.08394195720333335
0.5526315789,3.36e-233,0.04819276797,0.0,0.024096382429999997
0.5666666666666667,9.933334703333333e-233,0.08228936075,0.0,0.05969049069666666
0.6256038647666666,6.5e-232,0.058268455510000004,0.0,0.05402217101
0.5789473684,4.69e-233,0.05128204802,0.0,0.02564102238
0.48666666666666664,0.0,0.0,0.0,0.0
0.46666666669999995,5.2e-233,0.02816901059,0.0,0.02816901059
0.4927350427333333,5.126899999999999e-233,0.08859608968999999,0.0,0.08859608968999999
0.41025641026666665,3.7133333333333332e-233,0.06926406706666667,0.0,0.03463203244
0.4148148148333333,3.1390666666666668e-233,0.059917582803333334,0.0,0.03452500011
0.512195122,4.66e-233,0.02739725685,0.0,0.02739725685
0.5365853659,6.1299999999999985e-233,0.0821917774,0.0,0.0821917774
0.3181818182,7.54e-232,0.09756097085,0.0,0.04878048305
0.5918367347,1.22e-155,0.2291666621,0.0180180137,0.18749999539999998
0.6666666667,7.54e-232,0.10256409770000001,0.0,0.05128204644
0.511627907,3.93e-233,0.07692307366,0.0,0.07692307366
