Jaccard,BLEU,ROUGE-1,ROUGE-2,ROUGE-L
0.7222222222,2.38E-232,0.2222222182,0,0.1728395021
0.8064516129,1.14E-155,0.1463414594,0.02105262742,0.1463414594
0.6666666667,8.97E-232,0.1311475368,0,0.1311475368
0.6551724138,9.89E-232,0.1463414586,0,0.09756097076
0.71875,1.03E-231,0.1463414586,0,0.1463414586
0.8125,9.97E-232,0.2727272677,0.02352940692,0.2121212071
0.5957446809,1.02E-231,0.1194029802,0,0.1194029802
0.6923076923,6.12E-232,0.1702127617,0.01785713849,0.1489361659
0.6136363636,1.25E-231,0.2330097037,0,0.2330097037
0.5789473684,0,0,0,0
0.5476190476,5.33E-232,0.1914893573,0,0.1489361658
0.9032258065,0.1746139174,0.3636363587,0.2249999951,0.3636363587
0.7272727273,9.52E-232,0.1038960993,0,0.1038960993
0.6666666667,9.24E-232,0.2469135757,0,0.2469135757
0.5714285714,7.60E-232,0.05714285319,0,0.05714285319
0.75,0.1640534953,0.3703703654,0.1747572766,0.3456790074
0.8,0.1234613083,0.3571428523,0.1353383411,0.3571428523
0.7741935484,2.15E-155,0.2051282006,0.02222221758,0.2051282006
0.7179487179,0.08145662643,0.2799999951,0.1061946853,0.2799999951
0.7111111111,2.36E-155,0.1666666623,0.01960783841,0.1666666623
0.6136363636,2.53E-155,0.219780215,0.03921568165,0.219780215
0.5714285714,3.21E-155,0.2058823481,0.0499999952,0.2058823481
0.575,3.41E-155,0.1842105217,0.02173912559,0.1578947323
0.6216216216,2.43E-155,0.1149425239,0.01818181338,0.1149425239
0.6756756757,6.11E-232,0.2499999955,0.0175438552,0.2499999955
0.5882352941,3.19E-79,0.1818181779,0.03883494778,0.1818181779
0.6904761905,3.02E-155,0.1386138565,0.01724137432,0.1386138565
0.5777777778,0.05891004694,0.1874999953,0.09009008539,0.1666666619
0.5306122449,1.06E-231,0.1188118765,0,0.1188118765
0.6774193548,4.02E-155,0.1785714236,0.05970148755,0.1785714236
0.7317073171,2.44E-155,0.1956521695,0.01754385515,0.1956521695
0.5833333333,1.07E-78,0.1747572766,0.03124999501,0.1747572766
0.7608695652,0.1116709421,0.2758620644,0.1730769186,0.2528735586
0.5853658537,2.89E-155,0.2093023209,0.01869158394,0.2093023209
0.6744186047,0.03964436189,0.2020201972,0.0472440896,0.2020201972
0.6341463415,3.16E-232,0.1388888845,0,0.1388888845
0.5909090909,2.73E-155,0.1414141365,0.01886791962,0.1212121163
0.6666666667,9.75E-232,0.1690140799,0,0.1690140799
0.6428571429,3.09E-155,0.2022471861,0.0185185136,0.2022471861
0.6428571429,0.06912757028,0.3578947325,0.1467889865,0.3157894694
0.7297297297,5.39E-232,0.1351351306,0,0.1081081036
0.7142857143,3.03E-155,0.1230769183,0.02816900944,0.1230769183
0.4693877551,1.02E-231,0.1333333293,0,0.1066666626
0.7446808511,7.11E-232,0.1086956474,0,0.0652173865
0.6097560976,9.79E-232,0.1066666617,0,0.1066666617
0.6285714286,1.04E-231,0.08163264808,0,0.08163264808
0.5952380952,6.07E-233,0.09302325237,0,0.09302325237
0.7058823529,8.38E-232,0.2051282002,0,0.1538461489
0.7058823529,3.40E-155,0.1568627403,0.03389830026,0.1568627403
0.6052631579,1.41E-155,0.2272727231,0.01923076497,0.1818181777
0.4615384615,0,0,0,0
0.6530612245,9.42E-79,0.1874999951,0.03539822526,0.1458333284
0.6666666667,7.67E-232,0.1818181771,0,0.1818181771
0.6666666667,0.1229455334,0.277227718,0.1475409788,0.277227718
0.6170212766,0.06547338263,0.2105263115,0.1090909046,0.2105263115
0.5365853659,4.66E-233,0.08333333003,0,0.08333333003
0.6086956522,3.25E-155,0.1851851802,0.01526717059,0.1851851802
0.3880597015,1.07E-231,0.2033898256,0,0.2033898256
0.6739130435,1.63E-78,0.2586206847,0.0863309303,0.2586206847
0.5897435897,9.79E-232,0.1111111062,0,0.1111111062
0.5957446809,5.24E-235,0.05479451799,0,0.05479451799
