Jaccard,BLEU,ROUGE-1,ROUGE-2,ROUGE-L
0.6153846154,1.26E-155,0.1463414593,0.03921568229,0.1219512154
0.6842105263,1.03E-155,0.1666666625,0.02150537232,0.1666666625
0.5609756098,9.63E-232,0.1449275324,0,0.1449275324
0.7777777778,9.11E-232,0.115384611,0,0.115384611
0.5588235294,1.13E-231,0.1951219464,0,0.1951219464
0.75,3.44E-155,0.2564102515,0.02222221747,0.2564102515
0.625,6.85E-232,0.0634920587,0,0.0634920587
0.675,6.01E-232,0.2156862699,0.01709401254,0.2156862699
0.6341463415,3.41E-155,0.2173912994,0.01869158379,0.2173912994
0.6388888889,6.66E-232,0.04081632353,0,0.04081632353
0.625,2.21E-155,0.2526315745,0.03773584463,0.2526315745
0.9333333333,0.1620171924,0.4705882303,0.2195121902,0.3823529362
0.7058823529,2.93E-155,0.1351351304,0.02247190572,0.1351351304
0.75,3.60E-155,0.252631574,0.03478260378,0.2105263109
0.7,0.1370264174,0.377358486,0.2769230729,0.377358486
0.6041666667,0.1232478276,0.2380952331,0.1346153796,0.2380952331
0.8,0.121743182,0.3396226368,0.155038755,0.3396226368
0.6857142857,2.20E-155,0.2564102519,0.02247190551,0.2307692262
0.6097560976,1.32E-78,0.23913043,0.05405404915,0.2173912995
0.6739130435,2.28E-155,0.155844152,0.02040815867,0.129870126
0.6097560976,0.1100945354,0.3013698594,0.2045454507,0.3013698594
0.625,3.87E-155,0.2539682493,0.05063290662,0.2539682493
0.6097560976,3.41E-155,0.1891891847,0.02127659086,0.1891891847
0.6578947368,0.0584239149,0.2352941128,0.09009008527,0.2352941128
0.7222222222,2.11E-155,0.1538461492,0.01694914796,0.1538461492
0.4909090909,2.13E-232,0.08888888478,0,0.08888888478
0.6744186047,9.11E-232,0.09195401847,0,0.09195401847
0.6666666667,6.30E-232,0.1030927787,0,0.1030927787
0.58,1.05E-231,0.1415929154,0,0.1238938004
0.6578947368,1.11E-231,0.1290322531,0.02857142357,0.09677418855
0.6511627907,6.54E-232,0.1020408117,0,0.1020408117
0.5576923077,9.52E-232,0.1238938003,0,0.1238938003
0.5208333333,5.07E-232,0.06521738654,0,0.06521738654
0.625,3.65E-155,0.2022471862,0.03571428079,0.1348314559
0.7142857143,2.84E-155,0.2222222173,0.0156249951,0.2037036987
0.4736842105,2.16E-232,0.1269841235,0,0.1269841235
0.6341463415,8.94E-232,0.1290322533,0,0.1290322533
0.7058823529,8.51E-232,0.0909090862,0,0.0909090862
0.6428571429,9.75E-232,0.1489361652,0,0.1489361652
0.5853658537,1.81E-155,0.2173913002,0.03809523401,0.1956521698
0.6315789474,5.81E-232,0.1025640978,0,0.1025640978
0.6857142857,9.16E-232,0.09090908613,0,0.06060605583
0.5555555556,6.32E-232,0.02325580928,0,0.02325580928
0.6808510638,9.69E-232,0.1100917381,0,0.05504586656
0.5348837209,1.20E-231,0.199999995,0,0.1714285664
0.55,1.16E-231,0.1724137882,0,0.1724137882
0.7105263158,1.94E-232,0.131868128,0,0.08791208403
0.6666666667,6.11E-232,0.202898546,0,0.202898546
0.7741935484,3.54E-155,0.1754385919,0.03076922611,0.1754385919
0.6097560976,1.53E-232,0.09638553839,0,0.09638553839
0.5,0,0,0,0
0.6136363636,2.93E-155,0.177777773,0.03571428091,0.1555555508
0.7317073171,0.1233684743,0.2826086908,0.1730769184,0.2826086908
0.6046511628,7.35E-232,0.1874999954,0,0.1874999954
0.5217391304,5.58E-232,0.1720430066,0,0.1505376303
0.5,9.51E-233,0.1599999964,0,0.1599999964
0.7045454545,3.06E-155,0.1627906932,0.01769911029,0.1395348793
0.4090909091,9.74E-232,0.2040816277,0,0.1632653011
0.7021276596,0.131234966,0.2990654157,0.1692307644,0.2990654157
0.75,4.65E-155,0.199999995,0.0754716932,0.199999995
0.6808510638,3.27E-232,0.1978021935,0,0.1538461495
